School_ID,NAME_OF_SCHOOL,Street_Address,City,ZIP_Code,Network_Manager,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon ,SAFETY_SCORE,Longitude,Latitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Ward,Police_District
610120,Ferdinand Peck Elementary School,3826 W 58th St ,Chicago,60629,Midway Elementary Network,Not on Probation,Level 1,No,Average,51,-87.71922211,41.78792632,62,WEST ELSDON,13,8
609917,Fernwood Elementary School,10041 S Union Ave ,Chicago,60628,Rock Island Elementary Network,Probation,Level 3,No,Weak,29,-87.6403774,41.71119799,73,WASHINGTON HEIGHTS,34,22
610258,Florence B Price Elementary School,4351 S Drexel Blvd ,Chicago,60653,Burnham Park Elementary Network,Probation,Level 3,No,Weak,20,-87.6038735,41.81534262,39,KENWOOD,4,2
610096,Florence Nightingale Elementary School,5250 S Rockwell St ,Chicago,60632,Midway Elementary Network,Not on Probation,Level 2,No,Weak,35,-87.68917624,41.79774019,63,GAGE PARK,14,9
609924,Fort Dearborn Elementary School,9025 S Throop St ,Chicago,60620,Rock Island Elementary Network,Not on Probation,Level 2,No,Weak,34,-87.65544435,41.72966698,73,WASHINGTON HEIGHTS,21,22
609927,Foster Park Elementary School,8530 S Wood St ,Chicago,60620,Englewood-Gresham Elementary Network,Probation,Level 3,No,Very Weak,11,-87.66813597,41.7384262,71,AUBURN GRESHAM,18,6
610215,Francisco I Madero Middle School,3202 W 28th St ,Chicago,60623,Pilsen-Little Village Elementary Network,Probation,Level 2,Yes,Average,49,-87.70508585,41.84098398,30,SOUTH LAWNDALE,22,10
610067,Francis M McKay Elementary School,6901 S Fairfield Ave ,Chicago,60629,Midway Elementary Network,Probation,Level 3,No,Weak,23,-87.69174944,41.76810662,66,CHICAGO LAWN,18,8
610114,Francis Parkman Elementary School,245 W 51st St ,Chicago,60609,Pershing Elementary Network,Probation,Level 3,No,Weak,38,-87.63297392,41.80169919,37,FULLER PARK,3,9
610020,Francis Scott Key Elementary School,517 N Parkside Ave ,Chicago,60644,Austin-North Lawndale Elementary Network,Probation,Level 2,No,Weak,37,-87.76633519,41.88983589,25,AUSTIN,29,15
610112,Francis W Parker Elementary Community Academy,6800 S Stewart Ave ,Chicago,60621,Englewood-Gresham Elementary Network,Not on Probation,Level 2,No,Weak,30,-87.6353099,41.77079606,68,ENGLEWOOD,6,7
609800,Frank I Bennett Elementary School,10115 S Prairie Ave ,Chicago,60628,Rock Island Elementary Network,Probation,Level 3,No,Average,46,-87.61735342,41.71041656,49,ROSELAND,9,5
609939,Frank L Gillespie Elementary School,9301 S State St ,Chicago,60619,Rock Island Elementary Network,Probation,Level 2,No,Weak,27,-87.62368165,41.72529635,49,ROSELAND,6,6
609926,Franklin Elementary Fine Arts Center,225 W Evergreen Ave ,Chicago,60610,Fullerton Elementary Network,Not on Probation,Level 1,No,Very Strong,87,-87.6355136,41.90657253,8,NEAR NORTH SIDE,43,18
