ID,CASE_NUMBER,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA_NUMBER,FBICODE,YEAR,LONGITUDE,LATITUDE
7287599,HR703960,047XX W SUPERIOR ST,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,FALSE,1111,11,28,25,04B,2009,-87.74411014,41.89408407
4349267,HL646682,009XX W 103RD ST,460,BATTERY,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,2232,22,34,73,08B,2005,-87.64692076,41.70688095
8771351,HV445580,034XX N HALSTED ST,460,BATTERY,SIMPLE,RESTAURANT,TRUE,FALSE,1925,19,44,6,08B,2012,-87.64941345,41.94486792
1850651,G688026,069XX S STEWART AV,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,732,7,,,04B,2001,-87.63490722,41.76890134
2811745,HJ466766,057XX S NORMAL BLVD,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,711,7,3,68,08B,2003,-87.63775596,41.79057107
4328714,HL632721,020XX W 18TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1223,12,25,31,08B,2005,-87.67673292,41.85765368
6514506,HP579910,067XX S EBERHART AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,321,3,20,42,08B,2008,-87.61301853,41.77255605
4424181,HL718742,007XX N LAWNDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,1112,11,27,23,08B,2005,-87.71871472,41.89418971
6644648,HP714065,014XX N MENARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2531,25,29,25,08B,2008,-87.77065305,41.90634674
6644618,HP716225,030XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2112,1,2,35,08B,2008,-87.61751617,41.83981621
